year	low	high	width	share	cumul	# sptinc992i	country
1977	0.999	0.9995	0.0005	0.0061	0.9829		KR
1977	0.9995	0.9999	0.0004	0.0079	0.9908		KR
1977	0.9999	1	0.0001	0.0092	1		KR
1976	0	0.9	0.9	0.7432	0.7432		KR
1976	0.9	0.95	0.05	0.0951	0.8383		KR
1976	0.95	0.99	0.04	0.091	0.9293		KR
1976	0.99	0.995	0.005	0.0213	0.9506		KR
1976	0.995	0.999	0.004	0.0271	0.9777		KR
1976	0.999	0.9995	0.0005	0.0058	0.9835		KR
1976	0.9995	0.9999	0.0004	0.0077	0.9912		KR
1976	0.9999	1	0.0001	0.0088	1		KR
